# BUSCO version is: 6.0.0 
# The lineage dataset is: mycobacterium_odb12 (Creation date: 2025-05-14, number of genomes: 172, number of BUSCOs: 1512)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
91653at1763	Complete	NODE_11_length_86115_cov_26.384342	76239	76673	+	307.4	143
91666at1763	Complete	NODE_24_length_64205_cov_27.166604	44943	46142	+	884.0	394
91690at1763	Complete	NODE_9_length_97919_cov_26.930510	44869	44663	-	129.5	63
91692at1763	Complete	NODE_19_length_70437_cov_26.982248	42347	42940	+	368.2	185
91706at1763	Complete	NODE_12_length_86089_cov_25.824931	65275	64814	-	298.9	151
91708at1763	Complete	NODE_62_length_22709_cov_24.847384	1146	502	-	416.2	211
91718at1763	Complete	NODE_37_length_46606_cov_25.406026	32428	32973	+	330.7	177
91731at1763	Complete	NODE_8_length_98811_cov_26.943788	12795	13802	+	625.2	328
91750at1763	Complete	NODE_50_length_29790_cov_26.176118	2687	3103	+	302.7	138
91895at1763	Complete	NODE_27_length_61687_cov_27.192355	24315	23644	-	387.4	210
91908at1763	Complete	NODE_39_length_44529_cov_27.423378	31956	31651	-	208.3	99
91936at1763	Complete	NODE_21_length_66119_cov_27.177084	12242	11784	-	287.3	147
91946at1763	Complete	NODE_7_length_101874_cov_25.599713	19015	19779	+	509.8	248
91954at1763	Complete	NODE_36_length_47284_cov_27.552799	36883	38058	+	845.6	391
91963at1763	Complete	NODE_50_length_29790_cov_26.176118	988	1269	+	202.5	92
91969at1763	Complete	NODE_31_length_56331_cov_26.469691	36391	37137	+	545.9	248
91985at1763	Complete	NODE_26_length_61803_cov_25.397466	33478	34101	+	415.6	200
91997at1763	Complete	NODE_21_length_66119_cov_27.177084	9033	10055	+	734.3	337
92056at1763	Complete	NODE_49_length_30605_cov_26.801068	20662	20952	+	154.4	78
92058at1763	Missing
92072at1763	Complete	NODE_27_length_61687_cov_27.192355	17739	17353	-	239.0	126
92098at1763	Complete	NODE_42_length_39325_cov_26.288626	23186	22839	-	232.4	113
92167at1763	Complete	NODE_12_length_86089_cov_25.824931	83954	83442	-	361.3	169
92173at1763	Complete	NODE_85_length_13127_cov_28.922682	10520	9987	-	381.6	177
92185at1763	Complete	NODE_33_length_54385_cov_23.969360	7427	8221	+	523.2	263
92196at1763	Complete	NODE_42_length_39325_cov_26.288626	29356	29766	+	204.3	118
92224at1763	Complete	NODE_8_length_98811_cov_26.943788	26719	25745	-	730.7	319
92226at1763	Complete	NODE_16_length_74802_cov_26.123546	21091	21678	+	269.6	131
92241at1763	Complete	NODE_111_length_5459_cov_22.604051	2007	1312	-	480.5	228
92288at1763	Complete	NODE_7_length_101874_cov_25.599713	18991	18674	-	213.3	103
92332at1763	Complete	NODE_9_length_97919_cov_26.930510	23734	23270	-	312.7	152
92350at1763	Complete	NODE_5_length_106117_cov_26.441098	99519	100973	+	1010.5	456
92370at1763	Complete	NODE_50_length_29790_cov_26.176118	3103	3336	+	167.2	77
92392at1763	Complete	NODE_74_length_17306_cov_27.173312	15585	16721	+	650.9	349
92449at1763	Complete	NODE_35_length_50015_cov_26.573812	20579	21142	+	376.7	186
92486at1763	Complete	NODE_39_length_44529_cov_27.423378	40305	42500	+	1568.1	727
92489at1763	Complete	NODE_16_length_74802_cov_26.123546	1790	795	-	676.9	327
92498at1763	Fragmented	NODE_81_length_13938_cov_26.976336	4287	4577	+	178.6	94
92552at1763	Complete	NODE_41_length_40471_cov_25.802545	14535	14954	+	266.1	137
92565at1763	Complete	NODE_9_length_97919_cov_26.930510	14692	14405	-	176.1	79
92573at1763	Missing
92575at1763	Complete	NODE_9_length_97919_cov_26.930510	67493	68230	+	444.9	242
92584at1763	Complete	NODE_8_length_98811_cov_26.943788	31603	29426	-	1672.6	720
92587at1763	Complete	NODE_9_length_97919_cov_26.930510	97768	96794	-	674.8	307
92593at1763	Duplicated	NODE_1_length_348435_cov_26.263884	147135	148955	+	1359.1	603
92593at1763	Duplicated	NODE_1_length_348435_cov_26.263884	201301	199481	-	1359.1	603
92595at1763	Complete	NODE_81_length_13938_cov_26.976336	13936	13289	-	354.4	201
92601at1763	Complete	NODE_3_length_131980_cov_26.711379	39522	38911	-	397.7	198
92612at1763	Complete	NODE_18_length_71476_cov_28.439264	16926	17753	+	554.9	274
92628at1763	Complete	NODE_7_length_101874_cov_25.599713	97498	96788	-	385.1	217
92632at1763	Complete	NODE_10_length_91534_cov_27.119969	3827	4510	+	474.3	226
92648at1763	Duplicated	NODE_28_length_61498_cov_26.124176	20681	21391	+	435.8	215
92648at1763	Duplicated	NODE_28_length_61498_cov_26.124176	40818	40108	-	435.8	215
92665at1763	Complete	NODE_27_length_61687_cov_27.192355	11647	11075	-	414.0	189
92682at1763	Complete	NODE_16_length_74802_cov_26.123546	20700	21002	+	173.8	96
92706at1763	Complete	NODE_16_length_74802_cov_26.123546	31871	33253	+	975.8	449
92723at1763	Complete	NODE_107_length_6082_cov_23.811823	4120	4830	+	484.9	235
92762at1763	Complete	NODE_27_length_61687_cov_27.192355	21081	21572	+	293.2	150
92765at1763	Complete	NODE_37_length_46606_cov_25.406026	15555	14662	-	587.4	293
92773at1763	Complete	NODE_20_length_68832_cov_40.803025	59138	57378	-	1201.1	559
92782at1763	Complete	NODE_103_length_6814_cov_24.166988	1449	1730	+	168.1	91
92792at1763	Complete	NODE_6_length_102250_cov_26.717734	49466	48363	-	803.7	356
92824at1763	Complete	NODE_39_length_44529_cov_27.423378	26637	25879	-	527.7	251
92862at1763	Complete	NODE_4_length_113218_cov_24.295605	8066	8497	+	281.3	141
92864at1763	Complete	NODE_31_length_56331_cov_26.469691	29800	29444	-	219.5	116
92871at1763	Complete	NODE_26_length_61803_cov_25.397466	29184	28798	-	264.1	127
92883at1763	Complete	NODE_15_length_78221_cov_25.797029	60759	61316	+	341.6	176
92895at1763	Complete	NODE_7_length_101874_cov_25.599713	43766	44329	+	382.7	184
92897at1763	Complete	NODE_9_length_97919_cov_26.930510	73890	73438	-	290.8	149
92973at1763	Complete	NODE_31_length_56331_cov_26.469691	18817	19470	+	335.2	197
92977at1763	Complete	NODE_33_length_54385_cov_23.969360	26437	27225	+	515.6	258
92983at1763	Complete	NODE_55_length_26647_cov_25.525932	21426	20746	-	477.7	226
92995at1763	Complete	NODE_7_length_101874_cov_25.599713	2463	3071	+	402.6	197
92997at1763	Complete	NODE_41_length_40471_cov_25.802545	20559	20978	+	223.3	101
93001at1763	Complete	NODE_12_length_86089_cov_25.824931	11126	11668	+	339.1	178
93016at1763	Complete	NODE_9_length_97919_cov_26.930510	4624	4256	-	246.6	122
93036at1763	Complete	NODE_24_length_64205_cov_27.166604	34422	34087	-	181.9	105
93061at1763	Complete	NODE_42_length_39325_cov_26.288626	37505	37266	-	144.8	71
93062at1763	Complete	NODE_32_length_55836_cov_24.758138	27016	25637	-	883.5	453
93080at1763	Complete	NODE_8_length_98811_cov_26.943788	32299	32060	-	174.1	79
93108at1763	Complete	NODE_19_length_70437_cov_26.982248	28389	27832	-	334.0	168
93113at1763	Complete	NODE_37_length_46606_cov_25.406026	32219	32425	+	136.8	67
93122at1763	Complete	NODE_15_length_78221_cov_25.797029	1115	1747	+	415.2	193
93169at1763	Complete	NODE_39_length_44529_cov_27.423378	23694	24074	+	213.9	115
93171at1763	Complete	NODE_14_length_81223_cov_26.429843	71167	72387	+	827.0	405
93186at1763	Complete	NODE_30_length_59440_cov_24.904233	48776	49450	+	358.0	201
93216at1763	Complete	NODE_5_length_106117_cov_26.441098	96388	97185	+	531.9	245
93232at1763	Complete	NODE_7_length_101874_cov_25.599713	62277	61525	-	511.7	244
93236at1763	Complete	NODE_37_length_46606_cov_25.406026	44483	45655	+	763.0	378
93253at1763	Complete	NODE_18_length_71476_cov_28.439264	37648	36938	-	440.6	221
93263at1763	Complete	NODE_36_length_47284_cov_27.552799	36557	36886	+	178.4	93
93275at1763	Complete	NODE_63_length_22488_cov_25.776092	1562	273	-	954.2	429
93283at1763	Complete	NODE_9_length_97919_cov_26.930510	24645	25355	+	431.1	213
93323at1763	Complete	NODE_12_length_86089_cov_25.824931	17751	17332	-	279.0	139
93341at1763	Complete	NODE_89_length_11106_cov_26.416448	3164	3760	+	395.6	197
93343at1763	Complete	NODE_42_length_39325_cov_26.288626	34083	33034	-	704.5	329
93360at1763	Complete	NODE_4_length_113218_cov_24.295605	59612	60454	+	577.5	279
93369at1763	Complete	NODE_12_length_86089_cov_25.824931	23386	23030	-	225.5	115
93389at1763	Complete	NODE_38_length_45596_cov_26.680990	20394	21164	+	551.5	253
93391at1763	Complete	NODE_129_length_2628_cov_29.818895	2626	1787	-	507.9	257
93405at1763	Complete	NODE_26_length_61803_cov_25.397466	47616	48737	+	765.2	352
93416at1763	Complete	NODE_83_length_13435_cov_27.446399	2389	2814	+	283.7	140
93436at1763	Complete	NODE_79_length_15157_cov_19.878183	7012	8556	+	1122.7	510
93457at1763	Complete	NODE_9_length_97919_cov_26.930510	55362	55676	+	190.2	102
93463at1763	Complete	NODE_8_length_98811_cov_26.943788	16821	15766	-	658.0	318
93472at1763	Complete	NODE_2_length_141379_cov_27.290965	15289	15636	+	208.9	110
93483at1763	Fragmented	NODE_11_length_86115_cov_26.384342	75904	76242	+	227.7	112
93486at1763	Complete	NODE_37_length_46606_cov_25.406026	24755	24324	-	245.2	143
93497at1763	Complete	NODE_2_length_141379_cov_27.290965	9047	11587	+	1003.4	465
93498at1763	Complete	NODE_2_length_141379_cov_27.290965	28104	25273	-	1929.7	908
93499at1763	Complete	NODE_7_length_101874_cov_25.599713	71068	72003	+	610.1	302
93501at1763	Complete	NODE_8_length_98811_cov_26.943788	7284	8843	+	1022.7	488
93506at1763	Complete	NODE_50_length_29790_cov_26.176118	10975	11514	+	359.4	177
93515at1763	Complete	NODE_42_length_39325_cov_26.288626	17745	16480	-	886.6	417
93558at1763	Complete	NODE_42_length_39325_cov_26.288626	34132	34842	+	474.5	229
93568at1763	Complete	NODE_18_length_71476_cov_28.439264	720	226	-	338.0	161
93574at1763	Complete	NODE_15_length_78221_cov_25.797029	1905	2369	+	206.6	104
93583at1763	Complete	NODE_6_length_102250_cov_26.717734	12357	12076	-	193.6	93
93625at1763	Duplicated	NODE_28_length_61498_cov_26.124176	23465	24802	+	868.9	421
93625at1763	Duplicated	NODE_28_length_61498_cov_26.124176	38034	36697	-	868.9	421
93626at1763	Complete	NODE_9_length_97919_cov_26.930510	89816	90502	+	453.8	219
93644at1763	Complete	NODE_11_length_86115_cov_26.384342	62823	63422	+	340.1	155
93646at1763	Complete	NODE_10_length_91534_cov_27.119969	17766	18251	+	317.4	156
93656at1763	Complete	NODE_2_length_141379_cov_27.290965	12774	13574	+	516.4	250
93683at1763	Complete	NODE_49_length_30605_cov_26.801068	18018	17764	-	154.0	77
93684at1763	Complete	NODE_32_length_55836_cov_24.758138	42683	43726	+	692.5	329
93696at1763	Complete	NODE_5_length_106117_cov_26.441098	42231	40189	-	1510.4	675
93701at1763	Complete	NODE_25_length_64065_cov_26.626196	40625	42193	+	1047.4	503
93707at1763	Missing
93724at1763	Complete	NODE_19_length_70437_cov_26.982248	40356	39289	-	743.9	354
93734at1763	Complete	NODE_16_length_74802_cov_26.123546	5120	6163	+	715.6	343
93738at1763	Complete	NODE_8_length_98811_cov_26.943788	88769	88080	-	498.9	228
93752at1763	Complete	NODE_3_length_131980_cov_26.711379	42737	44020	+	873.5	416
93763at1763	Complete	NODE_36_length_47284_cov_27.552799	26660	27130	+	335.4	156
93780at1763	Complete	NODE_19_length_70437_cov_26.982248	11127	13157	+	1293.4	651
93797at1763	Complete	NODE_50_length_29790_cov_26.176118	10553	10951	+	264.0	131
93847at1763	Complete	NODE_88_length_11232_cov_26.182788	8264	8872	+	396.3	199
93877at1763	Complete	NODE_13_length_83864_cov_25.393975	61115	62020	+	575.1	282
93897at1763	Fragmented	NODE_57_length_26197_cov_25.820789	17911	18378	+	280.0	149
93945at1763	Complete	NODE_34_length_50438_cov_25.530569	44157	44579	+	268.1	139
93996at1763	Complete	NODE_6_length_102250_cov_26.717734	13276	13974	+	424.6	211
94023at1763	Complete	NODE_70_length_18586_cov_26.848830	5718	4372	-	954.3	438
94031at1763	Complete	NODE_34_length_50438_cov_25.530569	11333	10035	-	915.9	431
94034at1763	Duplicated	NODE_1_length_348435_cov_26.263884	269887	271098	+	827.0	403
94034at1763	Duplicated	NODE_1_length_348435_cov_26.263884	78549	77338	-	827.0	403
94045at1763	Complete	NODE_37_length_46606_cov_25.406026	7183	7821	+	435.1	212
94076at1763	Complete	NODE_11_length_86115_cov_26.384342	10610	9213	-	890.9	453
94086at1763	Missing
94099at1763	Complete	NODE_6_length_102250_cov_26.717734	56531	56821	+	187.3	92
94109at1763	Complete	NODE_49_length_30605_cov_26.801068	16810	17751	+	561.7	298
94111at1763	Complete	NODE_11_length_86115_cov_26.384342	78574	79365	+	551.2	259
94125at1763	Complete	NODE_37_length_46606_cov_25.406026	28826	30034	+	769.4	395
94133at1763	Fragmented	NODE_763_length_722_cov_1.542636	2	721	+	346.9	227
94135at1763	Complete	NODE_36_length_47284_cov_27.552799	45535	46188	+	445.7	216
94156at1763	Missing
94169at1763	Complete	NODE_31_length_56331_cov_26.469691	33598	34419	+	509.5	263
94177at1763	Complete	NODE_10_length_91534_cov_27.119969	12105	12872	+	439.5	251
94209at1763	Complete	NODE_50_length_29790_cov_26.176118	26712	27281	+	333.6	163
94212at1763	Complete	NODE_85_length_13127_cov_28.922682	8559	8161	-	269.6	132
94223at1763	Duplicated	NODE_1_length_348435_cov_26.263884	266300	265656	-	415.5	205
94223at1763	Duplicated	NODE_1_length_348435_cov_26.263884	82136	82780	+	415.5	205
94226at1763	Complete	NODE_75_length_16873_cov_26.546916	1934	3235	+	797.4	405
94230at1763	Complete	NODE_42_length_39325_cov_26.288626	25542	24808	-	475.9	241
94231at1763	Complete	NODE_16_length_74802_cov_26.123546	49972	51708	+	1233.8	567
94311at1763	Complete	NODE_4_length_113218_cov_24.295605	51857	55435	+	1771.2	1131
94312at1763	Complete	NODE_58_length_26147_cov_27.231991	4999	5478	+	328.3	158
94333at1763	Complete	NODE_16_length_74802_cov_26.123546	41411	41713	+	190.2	95
94335at1763	Complete	NODE_286_length_1166_cov_52.343434	273	1	-	186.0	90
94366at1763	Complete	NODE_81_length_13938_cov_26.976336	2991	4097	+	646.9	363
94409at1763	Complete	NODE_39_length_44529_cov_27.423378	38053	35462	-	1751.5	844
94414at1763	Complete	NODE_26_length_61803_cov_25.397466	42874	44154	+	937.4	422
94428at1763	Complete	NODE_22_length_65767_cov_24.403867	42976	43470	+	354.7	163
94466at1763	Complete	NODE_13_length_83864_cov_25.393975	30230	30562	+	212.3	108
94470at1763	Complete	NODE_7_length_101874_cov_25.599713	4301	4867	+	276.3	164
94500at1763	Complete	NODE_83_length_13435_cov_27.446399	3839	3168	-	481.1	221
94502at1763	Complete	NODE_11_length_86115_cov_26.384342	1548	61	-	1054.1	482
94504at1763	Complete	NODE_31_length_56331_cov_26.469691	19487	20389	+	577.5	289
94583at1763	Complete	NODE_3_length_131980_cov_26.711379	3498	4457	+	665.2	311
94593at1763	Complete	NODE_5_length_106117_cov_26.441098	595	855	+	175.3	84
94596at1763	Complete	NODE_79_length_15157_cov_19.878183	3775	5877	+	1499.7	693
94598at1763	Complete	NODE_52_length_27912_cov_25.462583	17755	16226	-	1042.4	496
94603at1763	Complete	NODE_6_length_102250_cov_26.717734	57461	57715	+	188.9	84
94611at1763	Complete	NODE_59_length_25523_cov_29.000039	1991	1293	-	438.1	214
94626at1763	Complete	NODE_6_length_102250_cov_26.717734	72887	70650	-	1587.8	738
94634at1763	Complete	NODE_35_length_50015_cov_26.573812	44534	45760	+	790.5	390
94639at1763	Complete	NODE_52_length_27912_cov_25.462583	18816	17785	-	620.8	282
94644at1763	Complete	NODE_27_length_61687_cov_27.192355	48079	47192	-	478.2	271
94650at1763	Complete	NODE_49_length_30605_cov_26.801068	8039	7734	-	180.6	98
94651at1763	Complete	NODE_33_length_54385_cov_23.969360	16845	16543	-	162.0	95
94675at1763	Missing
94680at1763	Complete	NODE_3_length_131980_cov_26.711379	108280	109122	+	573.7	276
94684at1763	Complete	NODE_75_length_16873_cov_26.546916	1889	882	-	641.1	321
94730at1763	Complete	NODE_6_length_102250_cov_26.717734	18596	17121	-	967.5	490
94754at1763	Duplicated	NODE_1_length_348435_cov_26.263884	304870	305304	+	219.0	132
94754at1763	Duplicated	NODE_1_length_348435_cov_26.263884	43566	43132	-	219.0	132
94761at1763	Complete	NODE_48_length_31332_cov_22.401408	8200	7004	-	823.7	395
94784at1763	Complete	NODE_8_length_98811_cov_26.943788	6211	5411	-	545.2	262
94788at1763	Complete	NODE_57_length_26197_cov_25.820789	6855	5194	-	1191.2	546
94791at1763	Complete	NODE_7_length_101874_cov_25.599713	27504	27992	+	330.4	162
94815at1763	Complete	NODE_38_length_45596_cov_26.680990	28082	27312	-	510.9	243
94830at1763	Duplicated	NODE_1_length_348435_cov_26.263884	106163	105054	-	724.6	352
94830at1763	Duplicated	NODE_1_length_348435_cov_26.263884	242273	243382	+	724.6	352
94838at1763	Complete	NODE_4_length_113218_cov_24.295605	43237	44073	+	482.3	256
94893at1763	Complete	NODE_55_length_26647_cov_25.525932	16956	17918	+	607.2	301
94913at1763	Complete	NODE_9_length_97919_cov_26.930510	59981	59079	-	591.8	290
94914at1763	Complete	NODE_6_length_102250_cov_26.717734	2843	3358	+	284.7	161
94916at1763	Complete	NODE_4_length_113218_cov_24.295605	68195	68941	+	507.9	244
94927at1763	Missing
94947at1763	Complete	NODE_29_length_60622_cov_26.605616	52804	53082	+	166.8	90
94949at1763	Complete	NODE_25_length_64065_cov_26.626196	24140	25120	+	695.4	326
94959at1763	Complete	NODE_41_length_40471_cov_25.802545	18528	18869	+	235.5	113
94965at1763	Complete	NODE_53_length_27610_cov_27.571605	24163	25623	+	1052.1	471
94982at1763	Complete	NODE_16_length_74802_cov_26.123546	6805	7575	+	470.7	250
95010at1763	Complete	NODE_84_length_13339_cov_23.115216	7960	7556	-	195.9	113
95011at1763	Complete	NODE_53_length_27610_cov_27.571605	13485	13727	+	165.9	74
95047at1763	Complete	NODE_36_length_47284_cov_27.552799	46188	46859	+	433.1	213
95071at1763	Complete	NODE_8_length_98811_cov_26.943788	35989	35126	-	580.5	281
95090at1763	Complete	NODE_25_length_64065_cov_26.626196	33618	35177	+	1059.8	505
95091at1763	Complete	NODE_15_length_78221_cov_25.797029	29614	25919	-	2411.9	1107
95093at1763	Complete	NODE_22_length_65767_cov_24.403867	40985	41389	+	235.5	130
95110at1763	Complete	NODE_25_length_64065_cov_26.626196	33598	32738	-	536.4	273
95148at1763	Complete	NODE_14_length_81223_cov_26.429843	61049	59607	-	946.3	471
95166at1763	Complete	NODE_49_length_30605_cov_26.801068	5644	6822	+	777.6	380
95173at1763	Duplicated	NODE_1_length_348435_cov_26.263884	286175	285795	-	222.9	124
95173at1763	Duplicated	NODE_1_length_348435_cov_26.263884	62261	62641	+	222.9	124
95184at1763	Complete	NODE_4_length_113218_cov_24.295605	41086	41916	+	423.9	264
95186at1763	Complete	NODE_24_length_64205_cov_27.166604	46139	48052	+	1304.9	617
95205at1763	Complete	NODE_53_length_27610_cov_27.571605	15880	16533	+	415.7	214
95208at1763	Complete	NODE_16_length_74802_cov_26.123546	26736	28610	+	1277.7	615
95226at1763	Complete	NODE_21_length_66119_cov_27.177084	8825	7695	-	788.3	370
95237at1763	Complete	NODE_13_length_83864_cov_25.393975	21108	22238	+	747.7	367
95241at1763	Complete	NODE_18_length_71476_cov_28.439264	28923	27811	-	676.9	341
95255at1763	Complete	NODE_85_length_13127_cov_28.922682	6563	6090	-	318.2	157
95261at1763	Complete	NODE_30_length_59440_cov_24.904233	18109	17087	-	657.8	337
95269at1763	Complete	NODE_38_length_45596_cov_26.680990	15477	15241	-	160.7	85
95277at1763	Complete	NODE_90_length_11056_cov_25.201476	3910	1994	-	1291.7	625
95294at1763	Complete	NODE_5_length_106117_cov_26.441098	23487	24230	+	508.2	236
95295at1763	Complete	NODE_2_length_141379_cov_27.290965	25262	24699	-	366.6	186
95367at1763	Duplicated	NODE_1_length_348435_cov_26.263884	131860	129869	-	1293.8	639
95367at1763	Duplicated	NODE_1_length_348435_cov_26.263884	216576	218567	+	1293.8	639
95377at1763	Complete	NODE_37_length_46606_cov_25.406026	26486	25740	-	498.2	246
95378at1763	Complete	NODE_7_length_101874_cov_25.599713	40631	39555	-	685.4	341
95382at1763	Complete	NODE_3_length_131980_cov_26.711379	19565	21103	+	992.5	486
95392at1763	Complete	NODE_26_length_61803_cov_25.397466	17733	18239	+	232.5	123
95436at1763	Complete	NODE_38_length_45596_cov_26.680990	14934	13804	-	738.8	342
95449at1763	Missing
95475at1763	Complete	NODE_55_length_26647_cov_25.525932	16070	15372	-	400.5	204
95476at1763	Complete	NODE_84_length_13339_cov_23.115216	11157	11621	+	299.8	153
95512at1763	Duplicated	NODE_1_length_348435_cov_26.263884	143471	142737	-	413.2	205
95512at1763	Duplicated	NODE_1_length_348435_cov_26.263884	204965	205699	+	413.2	205
95524at1763	Complete	NODE_16_length_74802_cov_26.123546	39637	40113	+	270.7	146
95536at1763	Complete	NODE_30_length_59440_cov_24.904233	21341	20667	-	394.8	212
95539at1763	Complete	NODE_36_length_47284_cov_27.552799	8096	12046	+	2921.8	1313
95548at1763	Complete	NODE_17_length_72330_cov_27.105089	1198	1833	+	412.3	205
95556at1763	Complete	NODE_15_length_78221_cov_25.797029	38220	39371	+	671.3	368
95563at1763	Complete	NODE_3_length_131980_cov_26.711379	35810	34821	-	612.1	327
95569at1763	Complete	NODE_13_length_83864_cov_25.393975	53736	54308	+	345.0	182
95579at1763	Complete	NODE_27_length_61687_cov_27.192355	2787	2002	-	424.1	244
95637at1763	Complete	NODE_4_length_113218_cov_24.295605	56980	57261	+	178.7	87
95654at1763	Complete	NODE_12_length_86089_cov_25.824931	66551	69343	+	2070.4	920
95664at1763	Complete	NODE_39_length_44529_cov_27.423378	27542	26727	-	530.9	267
95682at1763	Complete	NODE_11_length_86115_cov_26.384342	41190	40753	-	248.8	144
95691at1763	Complete	NODE_11_length_86115_cov_26.384342	73986	72889	-	746.5	355
95727at1763	Complete	NODE_7_length_101874_cov_25.599713	100513	99713	-	546.3	255
95752at1763	Complete	NODE_50_length_29790_cov_26.176118	23699	24244	+	355.8	181
95762at1763	Complete	NODE_67_length_19765_cov_23.373527	3457	4233	+	508.0	251
95769at1763	Complete	NODE_71_length_18313_cov_27.818930	15269	16240	+	510.5	289
95788at1763	Complete	NODE_106_length_6329_cov_23.224088	782	2038	+	891.1	416
95789at1763	Complete	NODE_49_length_30605_cov_26.801068	15684	16751	+	659.4	352
95809at1763	Complete	NODE_10_length_91534_cov_27.119969	8845	9558	+	448.9	232
95829at1763	Duplicated	NODE_28_length_61498_cov_26.124176	13416	14822	+	937.9	447
95829at1763	Duplicated	NODE_28_length_61498_cov_26.124176	48083	46677	-	937.9	447
95887at1763	Complete	NODE_19_length_70437_cov_26.982248	39229	38576	-	298.2	193
95930at1763	Complete	NODE_7_length_101874_cov_25.599713	95692	96723	+	741.2	342
95949at1763	Complete	NODE_67_length_19765_cov_23.373527	4930	4289	-	461.5	213
95950at1763	Complete	NODE_46_length_35800_cov_25.504773	33469	34080	+	372.1	201
95960at1763	Complete	NODE_45_length_35826_cov_25.505692	31024	29375	-	1234.7	548
95984at1763	Complete	NODE_75_length_16873_cov_26.546916	15021	15908	+	433.9	257
96017at1763	Complete	NODE_66_length_20871_cov_24.463499	10881	11495	+	321.9	174
96019at1763	Complete	NODE_108_length_6050_cov_27.518332	593	1336	+	475.9	236
96028at1763	Complete	NODE_31_length_56331_cov_26.469691	17750	18742	+	511.8	293
96034at1763	Complete	NODE_30_length_59440_cov_24.904233	55774	55187	-	363.2	178
96055at1763	Complete	NODE_16_length_74802_cov_26.123546	46973	46563	-	295.5	136
96061at1763	Complete	NODE_93_length_10137_cov_27.687575	6390	8645	+	1340.6	719
96064at1763	Complete	NODE_3_length_131980_cov_26.711379	47150	45843	-	883.9	425
96072at1763	Complete	NODE_25_length_64065_cov_26.626196	43473	44090	+	373.6	190
96087at1763	Complete	NODE_3_length_131980_cov_26.711379	63534	63034	-	292.1	160
96124at1763	Complete	NODE_3_length_131980_cov_26.711379	114801	116186	+	919.7	447
96125at1763	Complete	NODE_4_length_113218_cov_24.295605	36202	37548	+	896.4	438
96134at1763	Complete	NODE_6_length_102250_cov_26.717734	413	1621	+	720.3	384
96147at1763	Complete	NODE_81_length_13938_cov_26.976336	2371	2982	+	353.4	196
96148at1763	Complete	NODE_12_length_86089_cov_25.824931	39372	40307	+	636.2	304
96162at1763	Complete	NODE_6_length_102250_cov_26.717734	39622	40254	+	392.2	198
96167at1763	Complete	NODE_2_length_141379_cov_27.290965	129201	127459	-	1099.8	564
96172at1763	Complete	NODE_22_length_65767_cov_24.403867	55902	53677	-	1454.5	707
96215at1763	Complete	NODE_38_length_45596_cov_26.680990	20242	19208	-	671.7	333
96245at1763	Complete	NODE_35_length_50015_cov_26.573812	2236	2637	+	247.1	132
96259at1763	Complete	NODE_7_length_101874_cov_25.599713	63152	62274	-	615.6	290
96264at1763	Complete	NODE_4_length_113218_cov_24.295605	51631	50753	-	585.8	278
96304at1763	Complete	NODE_86_length_11873_cov_23.676924	3	716	+	376.8	188
96315at1763	Complete	NODE_18_length_71476_cov_28.439264	42019	41111	-	485.6	277
96330at1763	Complete	NODE_26_length_61803_cov_25.397466	29327	29995	+	380.8	176
96335at1763	Complete	NODE_36_length_47284_cov_27.552799	4515	8051	+	2532.6	1146
96342at1763	Complete	NODE_92_length_10188_cov_22.366136	2854	3441	+	329.7	183
96358at1763	Complete	NODE_13_length_83864_cov_25.393975	78470	79489	+	709.1	338
96378at1763	Complete	NODE_57_length_26197_cov_25.820789	12134	13297	+	830.5	386
96379at1763	Complete	NODE_7_length_101874_cov_25.599713	84104	85231	+	797.6	375
96399at1763	Complete	NODE_27_length_61687_cov_27.192355	21057	19828	-	766.9	399
96453at1763	Complete	NODE_3_length_131980_cov_26.711379	4454	5560	+	724.1	341
96498at1763	Complete	NODE_8_length_98811_cov_26.943788	36819	38297	+	1000.3	488
96534at1763	Complete	NODE_9_length_97919_cov_26.930510	60802	60050	-	538.9	249
96536at1763	Duplicated	NODE_1_length_348435_cov_26.263884	144061	143468	-	317.6	179
96536at1763	Duplicated	NODE_1_length_348435_cov_26.263884	204375	204968	+	317.6	179
96544at1763	Complete	NODE_48_length_31332_cov_22.401408	26608	26414	-	139.3	64
96557at1763	Complete	NODE_22_length_65767_cov_24.403867	44798	47623	+	1940.5	923
96578at1763	Complete	NODE_32_length_55836_cov_24.758138	39029	40909	+	1193.2	575
96631at1763	Complete	NODE_37_length_46606_cov_25.406026	20491	19868	-	334.5	190
96636at1763	Complete	NODE_26_length_61803_cov_25.397466	45658	47619	+	1357.0	630
96657at1763	Complete	NODE_61_length_23524_cov_25.928562	15500	16171	+	428.8	223
96670at1763	Complete	NODE_13_length_83864_cov_25.393975	22238	25585	+	2389.1	1103
96675at1763	Complete	NODE_21_length_66119_cov_27.177084	2374	3135	+	489.4	246
96701at1763	Complete	NODE_4_length_113218_cov_24.295605	59538	58702	-	528.8	261
96704at1763	Complete	NODE_50_length_29790_cov_26.176118	22377	23702	+	907.8	440
96708at1763	Complete	NODE_82_length_13907_cov_31.942805	3795	3022	-	536.7	257
96729at1763	Complete	NODE_53_length_27610_cov_27.571605	21550	23199	+	1149.7	542
96730at1763	Complete	NODE_102_length_6939_cov_22.503060	3027	1954	-	691.8	330
96749at1763	Complete	NODE_31_length_56331_cov_26.469691	23736	24479	+	339.6	215
